발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster,c,cluster_4
1669143007393,"23 km S of Malango, Solomon Islands",reviewed,0,340,earthquake,4.7, Solomon Islands,159.7342,-9.9108,12.06,2022-11-22 18:50:07.393000+00:00,0,pink,3
1638619623472,"140 km SSE of Kandrian, Papua New Guinea",reviewed,0,369,earthquake,4.9, Papua New Guinea,150.1212,-7.344,10.0,2021-12-04 12:07:03.472000+00:00,0,pink,3
1682607414089,"5 km ENE of Berastagi, Indonesia",reviewed,0,327,earthquake,4.6, Indonesia,98.5528,3.2052,10.0,2023-04-27 14:56:54.089000+00:00,0,pink,3
1670494878695,"off the coast of Jalisco, Mexico",reviewed,0,285,earthquake,4.3, Mexico,-105.8439,17.7651,19.995,2022-12-08 10:21:18.695000+00:00,0,pink,3
1689066176117,South Sandwich Islands region,reviewed,0,326,earthquake,4.6,South Sandwich Islands region,-27.6455,-60.1975,10.0,2023-07-11 09:02:56.117000+00:00,0,pink,3
1654944078907,"105 km E of Georgetown, Saint Helena",reviewed,0,340,earthquake,4.7, Saint Helena,-13.469,-7.7451,10.0,2022-06-11 10:41:18.907000+00:00,0,pink,3
1629029143669,"10 km NW of Baradères, Haiti",reviewed,0,355,earthquake,4.8, Haiti,-73.719,18.5351,10.0,2021-08-15 12:05:43.669000+00:00,0,pink,3
1672409406152,"5 km ENE of Sakai, Japan",reviewed,0,298,earthquake,4.4, Japan,139.8576,36.1139,56.826,2022-12-30 14:10:06.152000+00:00,2,green,2
1684484840391,southeast of the Loyalty Islands,reviewed,0,432,earthquake,5.3,southeast of the Loyalty Islands,170.7149,-22.8902,10.0,2023-05-19 08:27:20.391000+00:00,0,red,0
1677799920251,"149 km SW of Akhiok, Alaska",reviewed,0,168,earthquake,3.3, Alaska,-155.625,55.8706,10.8,2023-03-02 23:32:00.251000+00:00,1,blue,1
1638084181203,"200 km WSW of Adak, Alaska",reviewed,0,211,earthquake,3.7, Alaska,-179.2281,51.0875,22.22,2021-11-28 07:23:01.203000+00:00,1,blue,1
1657445832099,"24 km SE of Erci?, Turkey",reviewed,0,246,earthquake,4.0, Turkey,43.5181,38.8439,10.0,2022-07-10 09:37:12.099000+00:00,1,pink,3
1631905923060,"26 km N of Kohlu, Pakistan",reviewed,0,340,earthquake,4.7, Pakistan,69.282,30.1325,30.71,2021-09-17 19:12:03.060000+00:00,2,green,2
1614972042353,Kermadec Islands region,reviewed,0,340,earthquake,4.7,Kermadec Islands region,-176.2046,-29.514,10.0,2021-03-05 19:20:42.353000+00:00,0,pink,3
1631343110635,Kazakhstan-Uzbekistan border region,reviewed,0,271,earthquake,4.2,Kazakhstan-Uzbekistan border region,68.9325,41.5515,10.0,2021-09-11 06:51:50.635000+00:00,0,pink,3
1643698668100,Tonga region,reviewed,0,340,earthquake,4.7,Tonga region,-173.2175,-22.0821,10.0,2022-02-01 06:57:48.100000+00:00,0,pink,3
1645656748105,"142 km E of Pondaguitan, Philippines",reviewed,0,312,earthquake,4.5, Philippines,127.4589,6.206,10.0,2022-02-23 22:52:28.105000+00:00,0,pink,3
1681709233310,"16 km WNW of Hawaiian Ocean View, Hawaii",reviewed,0,221,earthquake,3.61, Hawaii,-155.9125,19.1306666666667,44.05,2023-04-17 05:27:13.310000+00:00,2,green,2
1680870702895,Kermadec Islands region,reviewed,0,271,earthquake,4.2,Kermadec Islands region,-177.631,-28.5132,10.0,2023-04-07 12:31:42.895000+00:00,0,pink,3
1677791217970,"37 km WNW of Port-Olry, Vanuatu",reviewed,0,326,earthquake,4.6, Vanuatu,166.7618,-14.8973,10.0,2023-03-02 21:06:57.970000+00:00,0,pink,3
1623221860812,central East Pacific Rise,reviewed,0,354,earthquake,4.8,central East Pacific Rise,-105.6645,-4.6631,10.0,2021-06-09 06:57:40.812000+00:00,0,pink,3
1661468261660,"91 km N of Culebra, Puerto Rico",reviewed,0,162,earthquake,3.25, Puerto Rico,-65.2813333333333,19.1313333333333,20.31,2022-08-25 22:57:41.660000+00:00,1,blue,1
1623614557564,"32 km NW of Jiangyou, China",reviewed,0,284,earthquake,4.3, China,104.4437,31.9442,10.0,2021-06-13 20:02:37.564000+00:00,0,pink,3
1642466340422,"173 km SW of Nikolski, Alaska",reviewed,0,168,earthquake,3.3, Alaska,-170.9589,52.0536,35.0,2022-01-18 00:39:00.422000+00:00,1,blue,1
1683058539621,"39 km SSW of Eureka, Nevada",reviewed,0,168,earthquake,3.3, Nevada,-116.1556,39.1914,0.0,2023-05-02 20:15:39.621000+00:00,1,blue,1
1650295685467,"68 km N of Kon Tum, Vietnam",reviewed,0,284,earthquake,4.3, Vietnam,108.0414,14.9702,10.0,2022-04-18 15:28:05.467000+00:00,0,pink,3
1651231517173,"209 km SE of Perryville, Alaska",reviewed,0,298,earthquake,4.4, Alaska,-156.7699,54.6052,0.9,2022-04-29 11:25:17.173000+00:00,0,pink,3
1624851227728,"27 km ESE of Estique, Peru",reviewed,0,312,earthquake,4.5, Peru,-69.7698,-17.5951,10.0,2021-06-28 03:33:47.728000+00:00,0,pink,3
1628917070014,South Sandwich Islands region,reviewed,0,312,earthquake,4.5,South Sandwich Islands region,-24.5276,-60.5616,10.0,2021-08-14 04:57:50.014000+00:00,0,pink,3
1653237982285,"247 km SSE of Katsuura, Japan",reviewed,0,312,earthquake,4.5, Japan,141.5054,33.1459,10.0,2022-05-22 16:46:22.285000+00:00,0,pink,3
1655039540450,"126 km NW of Tobelo, Indonesia",reviewed,0,326,earthquake,4.6, Indonesia,127.2297,2.5639,69.06,2022-06-12 13:12:20.450000+00:00,2,green,2
1651285007501,"139 km WNW of Tiksi, Russia",reviewed,0,259,earthquake,4.1, Russia,125.2962,72.2861,10.0,2022-04-30 02:16:47.501000+00:00,0,pink,3
1613073953248,southeast of the Loyalty Islands,reviewed,0,416,earthquake,5.2,southeast of the Loyalty Islands,171.2027,-22.6123,10.0,2021-02-11 20:05:53.248000+00:00,0,red,0
1618912114270,"20km ENE of Redway, CA",reviewed,0,261,earthquake,4.03,California,-123.5988333,40.188,33.89,2021-04-20 09:48:34.270000+00:00,2,green,2
1615165249807,"Kermadec Islands, New Zealand",reviewed,0,369,earthquake,4.9, New Zealand,-177.0202,-29.6572,10.0,2021-03-08 01:00:49.807000+00:00,0,pink,3
1651666347486,"228 km SSE of King Cove, Alaska",reviewed,0,271,earthquake,4.2, Alaska,-160.7337,53.2318,10.0,2022-05-04 12:12:27.486000+00:00,0,pink,3
1660625233902,"11 km ESE of Carumas, Peru",reviewed,0,312,earthquake,4.5, Peru,-70.5903,-16.8353,10.699,2022-08-16 04:47:13.902000+00:00,0,pink,3
1658943848869,"19 km S of Ayo, Peru",reviewed,0,312,earthquake,4.5, Peru,-72.2937,-15.8526,9.777,2022-07-27 17:44:08.869000+00:00,0,pink,3
1674635729410,"13 km ESE of P?hala, Hawaii",reviewed,0,202,earthquake,3.59, Hawaii,-155.369,19.1471666666667,30.36,2023-01-25 08:35:29.410000+00:00,1,blue,1
1681145236451,"Nicobar Islands, India region",reviewed,0,284,earthquake,4.3, India region,93.7742,8.897,9.626,2023-04-10 16:47:16.451000+00:00,0,pink,3
1669134283226,"210 km W of Tual, Indonesia",reviewed,0,416,earthquake,5.2, Indonesia,130.8544,-5.6417,67.15,2022-11-22 16:24:43.226000+00:00,2,green,2
1643779952230,Kermadec Islands region,reviewed,0,482,earthquake,5.6,Kermadec Islands region,-176.3267,-27.7569,10.0,2022-02-02 05:32:32.230000+00:00,0,red,0
1610157192240,"106 km NNE of Cruz Bay, U.S. Virgin Islands",reviewed,0,172,earthquake,3.34, U.S. Virgin Islands,-64.3491,19.1965,34.0,2021-01-09 01:53:12.240000+00:00,1,blue,1
1669108343271,"20 km SSW of Malango, Solomon Islands",reviewed,0,354,earthquake,4.8, Solomon Islands,159.6173,-9.8523,10.0,2022-11-22 09:12:23.271000+00:00,0,pink,3
1617964322711,Southwest Indian Ridge,reviewed,0,298,earthquake,4.4,Southwest Indian Ridge,46.2329,-39.4347,10.0,2021-04-09 10:32:02.711000+00:00,0,pink,3
1619989521191,"Kermadec Islands, New Zealand",reviewed,0,312,earthquake,4.5, New Zealand,-177.8204,-30.7252,10.0,2021-05-02 21:05:21.191000+00:00,0,pink,3
1632340318282,South Sandwich Islands region,reviewed,0,385,earthquake,5.0,South Sandwich Islands region,-25.9888,-59.4588,35.0,2021-09-22 19:51:58.282000+00:00,2,green,2
1660616577072,"241 km NW of Nagqu, China",reviewed,0,259,earthquake,4.1, China,90.2706,33.0358,10.0,2022-08-16 02:22:57.072000+00:00,0,pink,3
1670201025127,"27 km SW of Champerico, Guatemala",reviewed,0,246,earthquake,4.0, Guatemala,-92.0912,14.1119,35.0,2022-12-05 00:43:45.127000+00:00,2,green,2
